yrke_raa,antall_personer,normalisert,kategori,kilde,notat
"Dagarbejde, fornemmelig Vask og Rengjøring",1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
"Dagarbejderske, Havearbejde Vask osv",1,Vaskekone,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Enkemadame tjenende,1,Tjenestepike/husholderske,Huslig tjeneste,manuell,
Er tjenestepigene tilhjælp i et par huse,1,Tjenestepike/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
"Eriksens Mor, Husbestyrerinde for Søn",1,Husbestyrerinne,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Fhv. husholderske Understøttelse fra sin %forlovede%,1,Forsørges av familie/privat,Forsørget,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Forskjelligt af arbeide Væsentlig Vask,1,Vaskekone,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Frk. Selskabsdame,1,Selskapsdame,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
"Frøken, husbestyrerinde",1,Husbestyrerinne,Huslig tjeneste,manuell,
Gaardgut,1,Gårdsgutt,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Gaardsdreng hos Klein,1,Gårdsgutt,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
gaardsgut,1,Gårdsgutt,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Gaardsgut (Kjøbmand),1,Gårdsgutt,Huslig tjeneste,manuell,
Gaardsgut h. Kjøbmand,1,Gårdsgutt,Huslig tjeneste,manuell,
Gårdsgut hos %og% handlende,1,Gårdsgutt,Huslig tjeneste,manuell,
Gårdsgut i handelsforening kolonial,1,Gårdsgutt,Huslig tjeneste,manuell,
Gaardskarl h/ Kjøbmand,1,Gårdsgutt,Huslig tjeneste,manuell,
Gaardskarl Hos handelsgartner,1,Gårdsgutt,Huslig tjeneste,manuell,
Hus jomfru,1,Tjenestepike/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Husbestyrerinde hos Dahl,1,Husbestyrerinne,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Husbestyrerinde hos Faderen,1,Husbestyrerinne,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Husbestyrinde,1,Husbestyrerinne,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Husbestyrrerinde,1,Husbestyrerinne,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Husejer - Portner,1,Portner,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Huserhverv Tjenestepige,1,Tjenestepike/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Husholder,1,Tjener,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
husholder,1,Tjener,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Husholdersk,1,Tjenestepike/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Husholderske for A. Ahlstrand No 2,1,Tjenestepike/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Husholderske hos O Christensen,1,Tjenestepike/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Husholderske og Kjolesøm,1,Tjenestepike/husholderske,Huslig tjeneste,manuell,
Husholderske Underholdes af børnene,1,Tjenestepike/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Hushollerske,1,Tjenestepike/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
husjomfru,1,Tjenestepike/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Husjomfru paa Klub,1,Tjenestepike/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Husjæmfru Bestyrerinde,1,Tjenestepike/husholderske,Huslig tjeneste,manuell,
Husolderkse,1,Tjenestepike/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Husolersk,1,Tjenestepike/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Husolerske,1,Tjenestepike/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Ingen Næring %Barnepige%,1,Barnepike,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
intet Barnepige hjemme,1,Barnepike,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Intet erhverv. Husholderske for sine børn der underholder hende,1,Tjenestepike/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
kjennestepige,1,Tjenestepike/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Kokepige,1,Kokkepike,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Kokke Tjenestetyende,1,Kokkepike,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
kokkepige,1,Kokkepike,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
kun Tjenestegjerning,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Lidt rengjøring af kontorer,1,Vaskekone,Huslig tjeneste,manuell,
Maneskondition,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Militærvask,1,Vaskekone,Huslig tjeneste,manuell,
Maanedskondition i Byen,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Maanedspige hos Bjurstrøm??,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Maanedspige hos Toldk. Brun Ingen særlig Syssel,1,Tjenestepige/husholderske,Huslig tjeneste,manuell,
Maanedsplads,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Månedstjeneste,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Maaneskondisjon,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
oppasserske v/ folkeskole,1,Oppasserske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
opvarterske,1,Kafédame/servitrise,Handel,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Pige Vasker & Syer,1,Tjenestepige/husholderske,Huslig tjeneste,manuell,
Portner,1,Portner,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
"Portnerske, Contorrenhold",1,Portner,Huslig tjeneste,manuell,
rengjøring,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Rengjøring af 2 kontorer Understøttelse af Anker,1,Vaskekone,Huslig tjeneste,manuell,
Rengjørings kvinde,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Rengjøringskone,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Schweitzer,1,Fjøsmester,Jordbruk,manuell,
Skure og Vadskekone,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Skurekone,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Skurekone & vaskekone,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Skurepige,1,Vaskekone,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Stupige Tjenestetyende,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Thjenespike,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Tj.,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjenepige hos Frk Knap@Knop,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
tjener,1,Tjener,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjener i huset,1,Tjener,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Tjenerpige,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Tjeneste Pige,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjenestepig,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Tjenestepige Barnepige,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjenestepige barnepige,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjenestepige etc. intet fast,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjenestepige hos forskjellige,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjenestepige Husholderske,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjenestepige kokkepige,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjenestepige Maanedskondition,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjenestepige månedspige,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjenestepige Opvartningspige,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjenestepige stuepige,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
"Tjenestepige, stuepige",1,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
tjenestpige,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Tjennestepige,1,Tjenestepige/husholderske,Huslig tjeneste,manuell,
Tjpige,1,Tjenestepige/husholderske,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Vadsk,1,Vaskekone,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Vadsk og rengjøring,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
vadsk og rengjøring,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vadske og Skurekone,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
vadskepige,1,Vaskekone,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Vadskerkone,1,Vaskekone,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Vask,1,Vaskekone,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Vask etc.,1,Vaskekone,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Vask og madlavning,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vask og rengjøring,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vask og strygeri,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vask og strygning,1,Vaskekone,Huslig tjeneste,regel,
Vask. - Lidt penge,1,Vaskekone,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
vaske kone,1,Vaskekone,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Vaske Konne,1,Vaskekone,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Vaske og Rengjøring,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vaske og Rengjøringskone,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vaske Pige,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vaske Rengjøring,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
vaskekone,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vaskekone Enke,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vaskekone mv,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vaskekone Rengj. paa st.?,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
"Vaskekone, ol",1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vaskepige,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vasker for Fremmede,1,Vaskekone,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Vasker og skurer,1,Vaskekone,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Vasker-Kone,1,Vaskekone,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Vaskning Løsarbeiderske,1,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Waskekone,1,Vaskekone,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Waskning,1,Vaskekone,Huslig tjeneste,regel,"fallback-regel, sjekket manuelt"
Wisegut,1,Visergutt,Handel,regel,"fallback-regel, sjekket manuelt"
Barber egen,1,Barberer,Håndverk,regel,lærling uten fag: antatt håndverk
Barber egen Forretning,1,Barberer,Håndverk,regel,lærling uten fag: antatt håndverk
Barberlærling hos Vagenknegt,1,Barbererlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Barbermester egen Forretn.,1,Barberermester,Håndverk,regel,lærling uten fag: antatt håndverk
Barbersvend,1,Barberersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Barn tildels Rebslagerlærling,1,Repslagerlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Behjælpelig i Smedjen,1,Smedlærling,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Beslagssmedsvend,1,Smedsvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Blikenslager lærling,1,Blikkenslagerlærling,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
BlikenslagerMester,1,Blikkenslagermester,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Blikenslagersvend,1,Blikkenslagersvenn,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
blikenslagersvend,1,Blikkenslagersvenn,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Blikkenslager,1,Blikkenslager,Håndverk,regel,lærling uten fag: antatt håndverk
blikkenslagermester,1,Blikkenslagermester,Håndverk,regel,lærling uten fag: antatt håndverk
blikkenslagersvend,1,Blikkenslagersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Blokmager og Dreier,1,Blokkmaker og dreier,Håndverk,regel,lærling uten fag: antatt håndverk
Bogbinder - Lærling,1,Bokbinderlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Bogbinder Sven,1,Bokbindersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Bogbinder. Bestyrer af bogbinderi,1,Bokbinderbestyrer,Håndverk,regel,lærling uten fag: antatt håndverk
Bogbinderlerling,1,Bokbinderlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Bogbindersvend hos Sem,1,Bokbindersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
bogebinder,1,Bokbinder,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Bogtrykker,1,Boktrykker,Håndverk,regel,lærling uten fag: antatt håndverk
"Bogtrykker, Redaktør",1,Boktrykker,Håndverk,regel,lærling uten fag: antatt håndverk
Bogtrykkerlærling,1,Boktrykkerlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Bundtmagermes. & Handelsborger,1,Buntmakermester,Tekstil og søm,manuell,
Bundtmagerske,1,Buntmaker,Tekstil og søm,regel,lærling uten fag: antatt håndverk
Bygn-Snedkerarbeider,1,Bygningstømrer/-snekker,Bygg og anlegg,regel,lærling uten fag: antatt håndverk
Bødker egen förrätning,1,Bøkker,Håndverk,regel,lærling uten fag: antatt håndverk
Bøkker,1,Bøkker,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Bøssemagersvænd,1,Bøssemakersvenn,Håndverk,manuell,
Datter Delvis på bogtrykkeri,1,Boktrykkerlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Dreier f eg. regn.,1,Dreier,Håndverk,regel,lærling uten fag: antatt håndverk
Dreiersvend,1,Dreiersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Factor,1,Trykkeribestyrer,Håndverk,manuell,
Faktor,1,Trykkeribestyrer,Håndverk,manuell,
Faktor ved Trykkeri,1,Trykkeribestyrer,Håndverk,manuell,
Falsejomfru ved trykkeri,1,Bokbinder,Håndverk,manuell,
Farver egen forretning,1,Farver,Tekstil og søm,regel,lærling uten fag: antatt håndverk
Farvermester,1,Farvermester,Tekstil og søm,regel,lærling uten fag: antatt håndverk
Farversvend,1,Farversvenn,Tekstil og søm,regel,lærling uten fag: antatt håndverk
Feierinspektør,1,Feierinspektør,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Feiermester og gaardeier,1,Feiermester,Håndverk,regel,lærling uten fag: antatt håndverk
feiersvend,1,Feiersvenn,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Feiersvend Skorstensfeining,1,Feiersvenn,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Fhv. skomagerarb.,1,Forsørget,Forsørget,regel,lærling uten fag: antatt håndverk
Former ved Jernbrug,1,Støperiformer,Industri,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Formerlerling,1,Støperilærling,Industri,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Formerlerling ved Chatrineholm,1,Støperilærling,Industri,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Formerlærling,1,Støperilærling,Industri,regel,"markør = biljardmarkør, håndverk-ish; tvil"
fors. Sopelimmer,1,Håndgjerning fattigunderstøttelse,Forsørget,manuell,sopelimebinder
frh. Hattemager Huseier,1,Huseier/gårdeier,Forsørget,regel,lærling uten fag: antatt håndverk
Garverarbeider,1,Garveriarbeider,Håndverk,regel,lærling uten fag: antatt håndverk
Garvermester og Læderhandler,1,Garvermester,Håndverk,regel,lærling uten fag: antatt håndverk
Gjørtler,1,Gjørtler,Håndverk,regel,lærling uten fag: antatt håndverk
Gjørtler hos Bjurstrøm,1,Gjørtler,Håndverk,regel,lærling uten fag: antatt håndverk
Guldsmed Lærling,1,Gullsmedlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Guldsmedforretning,1,Gullsmed,Håndverk,regel,lærling uten fag: antatt håndverk
Gaardeier og Hjulmagersvend,1,Hjulmakersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Handel Garver & Læderhandler,1,Lærhandler,Handel,regel,lærling uten fag: antatt håndverk
Hattemagermester,1,Hattemakermester,Håndverk,regel,lærling uten fag: antatt håndverk
Hjulmager,1,Hjulmaker,Håndverk,regel,lærling uten fag: antatt håndverk
Hjulmagerlærling,1,Hjulmakerlærling,Håndverk,regel,lærling uten fag: antatt håndverk
"Hustru, bundtmagerarbeiderske",1,Buntmaker,Tekstil og søm,manuell,yrket vinner over familiestilling
Jerndreier ved Chatrineholm,1,Jerndreier,Industri,regel,lærling uten fag: antatt håndverk
Kjettingsmed,1,Smed (industri),Industri,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Kjættingsmed ved Katrineholm,1,Smed (industri),Industri,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Klir??smed ved Kathrineholm,1,Smed (industri),Industri,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Kobber og Blikkenslager,1,Blikkenslager,Håndverk,regel,lærling uten fag: antatt håndverk
Kobberslagersvend,1,Blikkenslagersvenn,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Korporal og Skomager,1,Korporal,Militær,regel,lærling uten fag: antatt håndverk
Kurvmager,1,Kurvmaker,Håndverk,regel,lærling uten fag: antatt håndverk
Kurvmagersvend,1,Kurvmakesvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Lering i Maling,1,Malerlærling,Bygg og anlegg,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Læring,1,Lærling,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Manden mekanikker i Frsstad,1,Hustru/husmor,Husarbeid,manuell,
Marmordreier,1,Marmordreier,Håndverk,regel,lærling uten fag: antatt håndverk
Maskinrepratørlærling,1,Mekanikerlærling,Industri,regel,"markør = biljardmarkør, håndverk-ish; tvil"
mekaniker hjemme,1,Mekaniker,Industri,regel,lærling uten fag: antatt håndverk
Mekanisk Lerling,1,Mekanikerlærling,Industri,manuell,
Modelsnedker,1,Modellsnekker,Håndverk,regel,lærling uten fag: antatt håndverk
Modepynt Læring,1,Modistlærling,Tekstil og søm,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Møbel-Snedkerarbeider hos Mester,1,Møbelsnekker,Håndverk,regel,lærling uten fag: antatt håndverk
Møbelsknedkersvend %Snedkersvend%,1,Møbelsnekkersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Møbelsnedker f. eg. regn.,1,Møbelsnekkermester,Håndverk,regel,lærling uten fag: antatt håndverk
Møbelsnedker for egen Regning,1,Møbelsnekkermester,Håndverk,regel,lærling uten fag: antatt håndverk
Møbl Sneekersvend,1,Møbelsnekkersvenn,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Pensionist Skomager for egen Regning,1,Pensjonist,Forsørget,regel,lærling uten fag: antatt håndverk
Pudser,1,Pusser,Industri,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Rebeslager,1,Repslager,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Rebslagerlærling,1,Repslagerlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Rebslagersvend i en andens Tjeneste,1,Repslagersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
S Smedlærling,1,Smedlærling,Håndverk,regel,lærling uten fag: antatt håndverk
SaddelmagerSvend,1,Sadelmakersvenn,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Sadelmager,1,Sadelmaker,Håndverk,regel,lærling uten fag: antatt håndverk
Sadelmagersvend,1,Sadelmakersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Salmager,1,Sadelmaker,Håndverk,regel,lærling uten fag: antatt håndverk
Salmager Læring,1,Sadelmakerlærling,Håndverk,regel,lærling uten fag: antatt håndverk
"Seilmager, eg. forretn",1,Seilmakermester,Sjøfart,regel,lærling uten fag: antatt håndverk
Seterske ved Fredrikstens Trykeri,1,Typograf,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Skjærsliber,1,Skjærslíper,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
skofliker Skomager i Hjemmet,1,Skomaker,Håndverk,regel,lærling uten fag: antatt håndverk
Skogsfrmd Snedker,1,Skogsformann,Treindustri,regel,lærling uten fag: antatt håndverk
Skomager & Læderhandler,1,Skomaker,Håndverk,regel,lærling uten fag: antatt håndverk
Skomager & Oppasser paa Interneringslokalet,1,Oppasser på Interneringslokalet,Offentlig tjeneste,regel,lærling uten fag: antatt håndverk
Skomager Arbeider,1,Skomaker på fabrikk,Industri,regel,lærling uten fag: antatt håndverk
Skomager arbeider,1,Skomaker på fabrikk,Industri,regel,lærling uten fag: antatt håndverk
Skomager egen forretning,1,Skomakermester,Håndverk,regel,lærling uten fag: antatt håndverk
Skomager i en andens Tjeneste,1,Skomaker,Håndverk,regel,lærling uten fag: antatt håndverk
Skomager i Hjemmet,1,Skomaker,Håndverk,regel,lærling uten fag: antatt håndverk
Skomager Lerling,1,Skomakerlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Skomager Mæster,1,Skomakermester,Håndverk,regel,lærling uten fag: antatt håndverk
Skomager og Udsalg af Skotøi,1,Skomaker,Håndverk,regel,lærling uten fag: antatt håndverk
Skomager Tilskjærer hos Halvorsen,1,Skomaker,Håndverk,regel,lærling uten fag: antatt håndverk
Skomager. Driver for egen regning,1,Skomakermester,Håndverk,regel,lærling uten fag: antatt håndverk
Skomagerarbeider i Hjemmet,1,Skomaker,Håndverk,regel,lærling uten fag: antatt håndverk
Skomagerforretning (mindre),1,Skomaker,Håndverk,regel,lærling uten fag: antatt håndverk
Skomagermester Handelsmand,1,Skomakermester,Håndverk,regel,lærling uten fag: antatt håndverk
skomagersvend,1,Skomakersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Skomagersvend %Arbejdar%,1,Skomakersvenn på fabrikk,Håndverk,regel,lærling uten fag: antatt håndverk
Skomagersvend hos kjøbmand Olaf Eliasen,1,Skomakersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Skomagmester,1,Skomakermester,Håndverk,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Skomakere egen regn,1,Skomakermester,Håndverk,regel,lærling uten fag: antatt håndverk
Skræder,1,Skredder,Tekstil og søm,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Smed for egen regning,1,Smedmester,Håndverk,regel,lærling uten fag: antatt håndverk
Smedarbejder,1,Smedlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Smedelærling,1,Smedlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Smedemester egen Regning,1,Smedmester,Håndverk,regel,lærling uten fag: antatt håndverk
Smedesvend,1,Smedsvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Smedgut,1,Smedlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Smedlering,1,Smedlærling,Håndverk,regel,lærling uten fag: antatt håndverk
